name	group	weak	contrast	confusable	fix
icon_alt_dome_arch_module	alt	"16x4u base strip; dia-4 bolts; 6x6u windows; 7u top ring band"	"whole arch #2B2F35 on bg - silhouette gone, specks float"	"hangar_fighters; hopper_funnel; flared_tower_silhouette"	"light-steel arch band 14u; oversized 24u keystone"
icon_alt_double_arrow_marker	alt	"4u dark tick cuts; ~4u inner chevron arms; dia-4 bolts"	"ok (light mass strong)"	"thruster_exhaust; robotic_arm"	"single bold double-chevron head 30u; drop all interior ticks"
icon_alt_double_window_panels	alt	"6u frame bands; 4u plus-glyph arms; dia-4 bolt dots"	"everything #2B2F35 on bg - icon nearly invisible (2 dots only)"	"battery_cells; hangar_fighters; octagonal_ring_module"	"light-steel frames 12u; one tall + one short panel; drop plus glyphs"
icon_alt_flame_emblem	alt	"2-4u side tongues w/ 2u dark cores; 4u base bar"	"2u dark cores merge into body"	"three_horizontal_bars; diamond_box_module; missile_crosshair"	"one flame tongue 30u wide on 12u stem; drop hexagon or make it a shield"
icon_alt_flared_tower_silhouette	alt	"3u slats x4; 7u top ring; 6u base bar; dia-4 bolts"	"tower #2B2F35 on bg vanishes, slats float"	"winged_tower_emitter; chevron_striped_canister; hopper_funnel"	"2 slats 8u thick; bold continuous light-steel flare outline"
icon_alt_hangar_fighters	alt	"fighter micro-holes 2-4u; 3u header/side dashes; 6u fighter spines"	"all #2B2F35 on bg - invisible except specks"	"dome_arch_module; double_window_panels; hopper_funnel"	"one light-steel fighter 40u wide, 8u+ spines; kill micro-holes"
icon_alt_hopper_funnel	alt	"3u light bars x3; 5u neck step; 6u funnel lip"	"all #2B2F35 on bg - funnel invisible, stripes float"	"flared_tower_silhouette; winged_tower_emitter; launching_pad"	"light-steel V funnel 12u walls; bold 10u throat cut"
icon_alt_launching_pad	alt	"3u pad stripe; 4u mast ticks; dia-4 bolts"	"all #2B2F35 on bg - mast and legs invisible"	"hopper_funnel; flared_tower_silhouette; robotic_arm"	"bold light rocket triangle 30u on 12u mast; 8u+ launch legs"
icon_alt_missile_crosshair	alt	"5x5u corner chips; 6u cross arms"	"dark hex body merges with bg (cross+ring float)"	"crosshair_target_reticle; crossed_frame; diamond_box_module"	"round seeker ring 10u band; bold 14u missile body through center (ember tip)"
icon_alt_octagonal_ring_module	alt	"6u octagon band; ~6u diagonal corner strips; dia-4 bolts"	"dark ring merges with bg"	"open_clamp_module; crossed_frame; crosshair_target_reticle"	"12u ring band + 2 bold asymmetric lugs; drop corner diagonals"
icon_alt_open_clamp_module	alt	"4-5u center octagon band; 4u edge lugs; r3 center dot"	"dark octagon body merges with bg"	"octagonal_ring_module; crossed_frame"	"two opposing C-jaws 14u thick with 20u mouth; center ring to 10u"
icon_alt_part_4	alt	"star spikes 2-3u; dia-3~5 scatter dots; 8x8u diamond"	"ok"	"part_6; part_4_2"	"star sigil to 30u centered; edge nubs to 12u"
icon_alt_part_4_2	alt	"2u jagged ridge steps; dia-3~4 dots; 2u star spikes"	"#8D939B vs part_4 #C9CDD2 indistinguishable at 24px"	"part_6; part_4"	"two jagged bands only, 12u thick full-width; drop dots+star"
icon_alt_part_6	alt	"4x4u diamond; dia-3~4 dots; 6u side nub"	"ok"	"part_4; part_4_2"	"single centered bolt sigil 30u; dots in 2 clean rows"
icon_alt_robotic_arm	alt	"4u gripper prongs; 3u light stripes; dia-4/5 joints"	"whole arm #2B2F35 on bg - invisible except specks"	"claw_hook; launching_pad; double_arrow_marker"	"light-steel 12u limbs; 10u gripper jaws + r6 joint bosses"
icon_alt_side_podded_module	alt	"4u pod slots; 4u crossbar; 10u pods"	"dark body merges with bg; pod slots read flat"	"double_window_panels; barred_rectangular_module; battery_cells"	"round 20u light-steel pods; 8u crossbar"
icon_alt_stacked_plate_layers	alt	"4u light stripes w/ dia-4 holes (holes eat stripe)"	"dark plates vanish on bg; only thin stripes read"	"three_horizontal_bars; chevron_engine_module; chevron_striped_canister"	"stripes 10u tall with no holes; heavier 10u skew offset"
icon_alt_three_horizontal_bars	alt	"3u notches in center bar; 4u end ticks"	"ok"	"flame_emblem; diamond_box_module; stacked_plate_layers"	"drop hexagon shell (bars in bracket frame); bars 12u with 12u gaps"
icon_alt_thruster_exhaust	alt	"6u bell walls; 6u throat; dia-4 ember dots"	"dark bell invisible on bg - ember streaks read as 3 bars"	"three_horizontal_bars; stacked_plate_layers; double_arrow_marker"	"light-steel bell 12u walls; merge streaks into one big tapered plume"
icon_alt_trapezoid_cup_module	alt	"6u lid notch; dia-4 bolts"	"ok (light lid/base strong)"	"buckled_crate_module; hopper_funnel; battery_cells"	"bold pour spout breaking silhouette; center slot to 14u gauge window"
icon_alt_winged_tower_emitter	alt	"3u stripes x4; 3u top tick; 5u base; 4u wings"	"all #2B2F35 on bg - tower invisible, stripes float"	"flared_tower_silhouette; chevron_striped_canister; hopper_funnel"	"light-steel tower + big 24u emitter dish; 2 stripes 8u thick"
